Time,"symbol",last_ask,last_bid,avg_spread
2026-08-06 01:53:00.000000000,"GC\Z26",4326.1,4325.7,0.31544965411225256
2026-08-06 01:52:00.000000000,"GC\V26",4293.9,4293.4,0.461949152542357
2026-08-06 01:52:00.000000000,"GC\U26",4278.5,4277.9,0.5378772112382798
2026-08-06 01:52:00.000000000,"GC\Z26",4325.6,4325.2,0.36181202370869
2026-08-06 01:51:00.000000000,"GC\V26",4292.6,4292,0.48043621943158543
2026-08-06 01:51:00.000000000,"GC\Z26",4324.3,4323.8,0.38550065019507246
2026-08-06 01:50:00.000000000,"GC\V26",4289.9,4289.4,0.4550260610573644
2026-08-06 01:50:00.000000000,"GC\Z26",4321.6,4321.2,0.3592900302115077
2026-08-06 01:49:00.000000000,"GC\V26",4292.6,4292.2,0.48149829738933214
2026-08-06 01:49:00.000000000,"GC\Z26",4324.3,4324,0.38149829738925745
2026-08-06 01:48:00.000000000,"GC\V26",4293.4,4292.9,0.46530973451326724
2026-08-06 01:48:00.000000000,"GC\U26",4278.1,4277.6,0.4633838383838292
2026-08-06 01:48:00.000000000,"GC\Z26",4325.1,4324.7,0.3654255319148749
2026-08-06 01:47:00.000000000,"GC\Z26",4324.8,4324.5,0.3612839179350524
2026-08-06 01:46:00.000000000,"GC\V26",4293,4292.5,0.5016519823788856
2026-08-06 01:46:00.000000000,"GC\Z26",4324.7,4324.3,0.4016519823788524
2026-08-06 01:45:00.000000000,"GC\V26",4291.4,4290.8,0.4964391691395096
2026-08-06 01:45:00.000000000,"GC\U26",4276.1,4275.4,0.6138127853881287
2026-08-06 01:45:00.000000000,"GC\Z26",4323.1,4322.6,0.3986193293885304
2026-08-06 01:44:00.000000000,"GC\V26",4291.1,4290.5,0.4625392552714405
2026-08-06 01:44:00.000000000,"GC\Z26",4322.8,4322.3,0.3632625395390903
2026-08-06 01:43:00.000000000,"GC\V26",4291.7,4291.2,0.4849590937696879
2026-08-06 01:43:00.000000000,"GC\Z26",4323.4,4323,0.38739549839225523
2026-08-06 01:42:00.000000000,"GC\V26",4291.1,4290.6,0.48225806451612174
2026-08-06 01:42:00.000000000,"GC\U26",4275.8,4275.1,0.6392156862745062
2026-08-06 01:42:00.000000000,"GC\Z26",4322.8,4322.4,0.3849537037037013
2026-08-06 01:41:00.000000000,"GC\V26",4290.2,4289.7,0.501732851985558
2026-08-06 01:41:00.000000000,"GC\Z26",4322,4321.6,0.40577334283682126
2026-08-06 01:40:00.000000000,"GC\V26",4289.5,4289.1,0.500897666068234
2026-08-06 01:40:00.000000000,"GC\U26",4274.3,4273.9,0.5878823529412565
2026-08-06 01:40:00.000000000,"GC\Z26",4321.3,4321,0.40320855614980766
2026-08-06 01:39:00.000000000,"GC\V26",4289.2,4288.9,0.5226770630279122
2026-08-06 01:39:00.000000000,"GC\U26",4274,4273.5,0.5455650060753309
2026-08-06 01:39:00.000000000,"GC\Z26",4321,4320.7,0.4230322580644984
2026-08-06 01:38:00.000000000,"GC\V26",4286.8,4286.2,0.5098461538461337
2026-08-06 01:38:00.000000000,"GC\Z26",4318.6,4318.1,0.4098537336413147
2026-08-06 01:37:00.000000000,"GC\V26",4286,4285.5,0.5089082384460739
2026-08-06 01:37:00.000000000,"GC\Z26",4317.8,4317.4,0.409406270847215
2026-08-06 01:36:00.000000000,"GC\V26",4288,4287.4,0.4831944444444351
2026-08-06 01:36:00.000000000,"GC\U26",4272.7,4272,0.5627011896430971
2026-08-06 01:36:00.000000000,"GC\Z26",4319.8,4319.3,0.38093240093243586
2026-08-06 01:35:00.000000000,"GC\V26",4285,4284.7,0.48716835504103084
2026-08-06 01:35:00.000000000,"GC\U26",4269.7,4269.2,0.5921784098254524
2026-08-06 01:35:00.000000000,"GC\Q26",4258.4,4258.1,0.6375870069605287
2026-08-06 01:35:00.000000000,"GC\Z26",4316.8,4316.5,0.3939437984495958
2026-08-06 01:34:00.000000000,"GC\V26",4278.2,4277.7,0.49037328094304056
2026-08-06 01:34:00.000000000,"GC\Z26",4309.9,4309.5,0.39397530864198393
2026-08-06 01:33:00.000000000,"GC\V26",4276.1,4275.5,0.49208893485009064
2026-08-06 01:33:00.000000000,"GC\Z26",4307.8,4307.3,0.39415684264476164
2026-08-06 01:32:00.000000000,"GC\Z26",4312.1,4311.7,0.41942977824707717
2026-08-06 01:31:00.000000000,"GC\V26",4279.9,4279.5,0.4986420950533493
2026-08-06 01:31:00.000000000,"GC\Z26",4311.6,4311.3,0.4053862373011347
2026-08-06 01:30:00.000000000,"GC\V26",4281.4,4280.9,0.4697736351531185
2026-08-06 01:30:00.000000000,"GC\U26",4266.1,4265.6,0.5102822580644857
2026-08-06 01:30:00.000000000,"GC\Z26",4313.1,4312.7,0.37315521628504306
2026-08-06 01:29:00.000000000,"GC\U26",4267.4,4266.8,0.6096234309623423
2026-08-06 01:29:00.000000000,"GC\Z26",4314.2,4313.8,0.4084148727983878
2026-08-06 01:28:00.000000000,"GC\Z26",4314,4313.5,0.39248927038621845
2026-08-06 01:27:00.000000000,"GC\V26",4282.4,4281.9,0.4764172335601348
2026-08-06 01:27:00.000000000,"GC\Z26",4314.1,4313.7,0.3764172335601814
2026-08-06 01:26:00.000000000,"GC\V26",4281.4,4280.9,0.480082987551857
2026-08-06 01:26:00.000000000,"GC\Z26",4313.1,4312.7,0.3804255319149714
